"Gene","Macrophages","Monocytes","Kupffercells","Microglialcells","DominantCell"
"GASK1B",72.9,17.1,113.6,41.2,"none"
"GATA3",5.2,4.1,2.8,0.9,"none"
"GBP1",54.1,108.4,29.4,6.3,"monocytes"
"GFI1B",1.2,0.7,0.2,0,"none"
"GGT5",3,0,2.4,21.5,"microglial"
"GLRX",240.8,114.7,249,11.6,"kupffer;macrophages"
"GLUL",733.6,939.7,767,71.6,"none"
"GPC4",3.5,0,0.2,13.4,"microglial"
"GPR183",936.4,866.8,112.3,44.7,"macrophages;monocytes"
"GPR68",2.9,0.7,1.7,0,"none"
"GPX4",594.8,554.6,448.8,20.6,"none"
"GSDMD",47.2,54.9,46.6,7.2,"none"
"GSN",350.5,21.9,113.2,148.5,"macrophages"
"GTF2H1",26.6,17.8,25.2,19.7,"none"
"GUSB",69.7,102.8,83.9,13.4,"none"
"H1-2",61.4,27.5,25.7,0.9,"macrophages"
"H2AC21",1.5,1.5,0.5,0,"none"
"H2AC7",0.8,0.4,0.3,0,"none"
"HBB",214.3,0.2,1227.3,0,"kupffer"
"HCK",143.1,254.1,165.4,50.1,"none"
"HDAC1",32.5,56.4,33.6,16.1,"none"
"HDAC2",60.6,39.5,49.3,25,"none"
"HDAC3",28.9,23.8,20.2,9.8,"none"
"HIF1A",279.6,270.8,145.6,51,"none"
"HK3",33.5,64.8,37.6,0.9,"none"
"HLA-DMA",560.5,199.5,318.6,13.4,"none"
"HLA-DPA1",2779.5,2073,1303.9,31.3,"none"
"HLA-DPB1",2457.5,1137.6,1637.2,19.7,"none"
"HLA-DQA1",865.2,492.4,296.8,11.6,"none"
"HLA-DQA2",240.8,90.8,63.2,0,"macrophages"
"HLA-DQB1",1143.6,686.9,345.5,8.1,"none"
"HLA-DRA",6606.3,4953.5,3326.4,56.4,"none"
"HLA-DRB1",3225.5,1765.5,990,0,"none"
"HLA-DRB5",825.9,431.7,429.9,8.1,"none"
"HMGB2",216.9,597.5,264.3,6.3,"monocytes"
"HMOX1",508.8,186,652.8,1.8,"kupffer;macrophages"
"HNMT",132.5,57.9,220.2,30.4,"kupffer;macrophages"
"HPSE",21.1,4.3,37.4,7.2,"kupffer;macrophages"
"HRH1",12.4,3,9.6,2.7,"macrophages;kupffer"
"HRH2",43.7,21.7,38,9.8,"none"
"HRH4",0,0,0,0.9,"none"
"HSD17B11",121.1,109.7,172.8,41.2,"none"
"HSPA5",400,335.6,136.6,28.6,"macrophages;monocytes"
"HSPD1",390.3,214.6,107.1,28.6,"macrophages;monocytes"
"ICAM3",44,235.7,58.9,0.9,"monocytes"
"ICOSLG",16,20.2,7.4,0,"monocytes;macrophages"
"IFI16",196.4,142.7,144.9,110.9,"none"
"IFI44",31.5,17.6,32.2,51,"none"
"IFI44L",34.9,12.6,13.1,93,"microglial"
"IFI6",86.8,71.3,22.4,23.3,"macrophages;monocytes"
"IFITM3",615.3,2048.5,568.9,37.6,"monocytes"
"IFNG",3.4,3.7,4.6,0,"none"
"IFNGR2",164.7,267.1,125.3,42.9,"none"
"IFNL2",0.1,0,0,0,"none"
"IGHA1",343.9,2.2,192.6,0,"macrophages;kupffer"
"IGHG4",3.7,0.2,72.6,0,"kupffer"
"IGKC",1590.5,10.6,1265.4,0,"macrophages;kupffer"
"IGSF6",307.4,118.2,227.4,16.1,"none"
"IL10",114.5,118.4,56.2,0,"monocytes;macrophages"
"IL10RA",131.9,262.6,163.9,21.5,"none"
"IL12A",0.2,0,0.2,0,"none"
"IL12B",0.3,0.4,0,0,"none"
"IL13",0.1,0,0,0,"none"
"IL13RA1",147.4,36.9,112.2,69.8,"none"
"IL15",15.8,52,17.5,4.5,"monocytes"
"IL18",154.8,74.8,174.3,59,"kupffer;macrophages"
"IL18BP",16,18,10.9,0.9,"none"
"IL18R1",17.9,3.3,4.9,11.6,"macrophages;microglial"
"IL1B",1989.9,11738.5,115.1,1.8,"monocytes"
"IL1R1",38,8.7,14.2,22.4,"none"
"IL1R2",227.1,144.4,268.2,0,"none"
"IL1RL1",3,4.8,1.6,0,"none"
"IL23A",7.4,41.2,0.3,0,"monocytes"
"IL31",0,0,0,0,"none"
"IL33",2.1,0,27.9,0.9,"kupffer"
"IL3RA",31.2,49,2.6,12.5,"monocytes;macrophages"
"IL4",0,0,0.5,0,"none"
"IL4R",36.5,46.4,25.4,36.7,"none"
"IL5",0,0,0,0,"none"
"IL5RA",0.2,0.2,0,0.9,"none"
"IL6",26.6,160.7,6.6,2.7,"monocytes"
"IRAK3",130,793.8,118.7,109.1,"monocytes"
"IRF5",32.1,16.7,32.2,8.1,"none"
"ISG15",138.4,243,50.9,12.5,"monocytes;macrophages"
"ISG20",71.2,629,42.7,5.4,"monocytes"
"ITGA5",47.5,11.1,25,13.4,"none"
"ITGAL",29.4,180.8,29.1,15.2,"monocytes"
"ITGAM",85.5,23.6,121.7,39.4,"kupffer;macrophages"
"ITGB2",491.9,638.7,648.1,25.9,"none"
"ITM2B",1343.4,2639.7,1370.4,240.7,"none"
"JAK2",44.5,42.1,36.2,102,"microglial"
"KAT2B",17.9,13.7,19,50.1,"microglial"
"KRT23",2.7,0.9,0,0,"none"
"LDHA",360.7,527.5,199.9,19.7,"none"
"LGALS1",1522.8,1605.7,1832.5,15.2,"none"
"LGALS12",1.5,0,0.2,0,"none"
"LGALS2",126.1,15.4,66.9,0,"macrophages;kupffer"
"LGALS3",613.8,346.3,251.5,13.4,"none"
"LGALS9",160.4,222,213,24.2,"none"
"LILRA2",38.9,101,73.3,8.1,"none"
"LILRB2",126.1,926.9,202.7,0.9,"monocytes"
"LILRB4",86.8,31.7,104.7,13.4,"kupffer;macrophages"
"LIPA",257.8,98.4,634.6,28.6,"kupffer"
"LITAF",429.7,656.9,171.4,7.2,"monocytes;macrophages"
"LRG1",14.6,18.4,53.4,0,"kupffer"
"LST1",732.6,3867.1,1125.1,23.3,"monocytes"
"LY6E",160.6,296,80,25,"monocytes;macrophages"
"LYZ",3871.1,1112.5,3020.6,0,"macrophages;kupffer"
"MAF",199.3,92.8,382.8,117.2,"none"
"MAP1LC3B",239.2,322,131.7,18.8,"none"
"MAP3K1",66.2,104.5,74.2,66.2,"none"
"MAPK1",75.1,166.1,92.5,65.3,"none"
"MAPK14",35.4,31.4,47.4,50.1,"none"
"MAPK3",23.1,13.2,20.3,7.2,"none"
"MARCKS",472,1068,224.4,57.3,"monocytes"
"MARCKSL1",75.2,269.5,40,8.9,"monocytes"
"MARCO",229.5,33.6,768.7,2.7,"kupffer"
"MBD2",101.4,529,112.4,41.2,"monocytes"
"MEFV",14.3,57.5,10.6,0,"monocytes"
"MGST1",79.6,6.1,256.6,6.3,"kupffer"
"MMP10",2.4,3.7,0,0,"none"
"MMP25",4.1,0.4,3.8,0.9,"none"
"MMP9",337.1,2.2,1.3,0,"macrophages"
"MNDA",350.4,99.5,383.6,32.2,"kupffer;macrophages"
"MRC1",414.9,8.9,348.2,58.2,"macrophages;kupffer"
"MS4A2",0.4,0,0,0,"none"
"MS4A6A",650.9,67,1337.8,38.5,"kupffer"
"MSMB",3.7,0,0,0,"none"
"MX1",42.9,41,16,23.3,"none"
"MXD1",188.2,429.7,64.4,10.7,"monocytes"
"NAMPT",1807.9,6490.5,1126.8,44.7,"monocytes"
"NCF2",188.7,248.5,135.3,3.6,"none"
"NFATC1",22.1,70.9,13.1,8.9,"monocytes"
"NFE2",8,1.1,17.3,0,"kupffer"
"NGF",0.3,0,0,1.8,"none"
"NLRP3",287.7,1180.3,38.8,17,"monocytes"
"NOD2",15,26.2,10.8,1.8,"none"
"NOS2",0,0,0,0,"none"
"NPC2",1226.9,973.9,1533.7,6.3,"none"
"NR1D1",9.9,15.2,2,8.1,"none"
"NR1D2",28.4,52.9,10.2,31.3,"none"
"OLIG1",1.6,10.6,2.7,0.9,"monocytes"
"P2RX7",36.7,14.1,15.6,33.1,"macrophages;microglial"
"P2RY13",56.3,54.2,95.4,63.5,"none"
"P2RY14",29.9,3.7,1.1,5.4,"macrophages"
"PABPC1",1142.4,2796.7,1910.6,51,"none"
"PADI4",7.7,21.9,2.6,0,"monocytes"
"PDE3A",1,0,0,25.9,"microglial"
"PDE4A",60.5,204.2,20.2,11.6,"monocytes"
"PELI1",118.5,520.8,58.2,114.5,"monocytes"
"PI3",7.1,0,0,0,"macrophages"
"PIGR",14.6,0,15.5,0,"kupffer;macrophages"
"PLA2G7",78.5,14.5,23.1,10.7,"macrophages"
"PLAC8",160.5,340.2,387,0.9,"kupffer;monocytes"
"PLBD1",113.1,43.4,129.3,7.2,"kupffer;macrophages"
"PPARG",36.2,1.5,18.3,36.7,"microglial;macrophages"
"PPBP",25.2,0.2,10.5,0,"macrophages"
"PRNP",151,457,178.5,56.4,"monocytes"
